"","Count","Conclusion","Algorithm","Picture","Page","Speaker","Text","before","after","min_count","max_count","combined"
"157",157,"All","Yes","All",17,"Pros","Please state your name.","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",157,168,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Please state your name. </div> </div> "
"158",158,"All","Yes","All",17,"Alg","Adrian Jones.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",157,168,"<div class='speech-bubble algorithm'><div class='left-text'> Adrian Jones. </div><div class='algorithm-image'></div></div><br/>"
"159",159,"All","Yes","All",17,"Pros","Who do you work for?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",157,168,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Who do you work for? </div> </div> "
"160",160,"All","Yes","All",17,"Alg","CSAFE, the Center for Statistics and Applications in Forensic Evidence.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",157,168,"<div class='speech-bubble algorithm'><div class='left-text'> CSAFE, the Center for Statistics and Applications in Forensic Evidence. </div><div class='algorithm-image'></div></div><br/>"
"161",161,"All","Yes","All",17,"Pros","What is your current occupation?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",157,168,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What is your current occupation? </div> </div> "
"162",162,"All","Yes","All",17,"Alg","I am currently a Professor of Statistics.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",157,168,"<div class='speech-bubble algorithm'><div class='left-text'> I am currently a Professor of Statistics. </div><div class='algorithm-image'></div></div><br/>"
"163",163,"All","Yes","All",17,"Pros"," How long have you been doing that?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",157,168,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>  How long have you been doing that? </div> </div> "
"164",164,"All","Yes","All",17,"Alg","30 years.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",157,168,"<div class='speech-bubble algorithm'><div class='left-text'> 30 years. </div><div class='algorithm-image'></div></div><br/>"
"165",165,"All","Yes","All",17,"Pros","What are your qualifications with regards to the bullet matching algorithm?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",157,168,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What are your qualifications with regards to the bullet matching algorithm? </div> </div> "
"166",166,"All","Yes","All",17,"Alg"," I have a Ph.D. in Statistics, and I have spent 7 years developing the bullet matching algorithm. I have spent 8 years collaborating with firearms examiners during the development and rollout of this algorithm.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",157,168,"<div class='speech-bubble algorithm'><div class='left-text'>  I have a Ph.D. in Statistics, and I have spent 7 years developing the bullet matching algorithm. I have spent 8 years collaborating with firearms examiners during the development and rollout of this algorithm. </div><div class='algorithm-image'></div></div><br/>"
"167",167,"All","Yes","All",17,"Pros","Are you familiar with the bullet matching algorithm?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",157,168,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Are you familiar with the bullet matching algorithm? </div> </div> "
"168",168,"All","Yes","All",17,"Alg","Yes. I was involved in the development of the algorithm.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/></div>",157,168,"<div class='speech-bubble algorithm'><div class='left-text'> Yes. I was involved in the development of the algorithm. </div><div class='algorithm-image'></div></div><br/></div>"
"169",169,"All","Yes","All",18,"Pros","Your Honor, at this time I would ask that Adrian Jones be qualified as an opinion witness in the bullet matching algorithm, subject to cross examination.","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",169,172,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Your Honor, at this time I would ask that Adrian Jones be qualified as an opinion witness in the bullet matching algorithm, subject to cross examination. </div> </div> "
"170",170,"All","Yes","All",18,"Court","Any cross on their credentials?","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",169,172,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Any cross on their credentials? </div> </div> "
"171",171,"All","Yes","All",18,"Def","No, Your Honor. ","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",169,172,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> No, Your Honor.  </div> </div> "
"172",172,"All","Yes","All",18,"Court","This witness is an opinion witness in the area of the bullet matching algorithm. They can testify to their opinions as well as facts.","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> </div>",169,172,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> This witness is an opinion witness in the area of the bullet matching algorithm. They can testify to their opinions as well as facts. </div> </div> </div>"
"173",173,"All","Yes","All",19,"Pros","How many times have you testified regarding this bullet matching algorithm?","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",173,180,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> How many times have you testified regarding this bullet matching algorithm? </div> </div> "
"174",174,"All","Yes","All",19,"Alg","17 times.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",173,180,"<div class='speech-bubble algorithm'><div class='left-text'> 17 times. </div><div class='algorithm-image'></div></div><br/>"
"175",175,"All","Yes","All",19,"Pros","Could you describe how this bullet matching algorithm compares bullets?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",173,180,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Could you describe how this bullet matching algorithm compares bullets? </div> </div> "
"176",176,"All","Yes","All",19,"Alg","Yes. For certain types of guns, the barrel will have lands and grooves, known as rifling. This rifling spins the bullet in order to make its trajectory more stable. Due to the manufacturing process, this rifling can produce identifiable markings on the bullet, based on random differences between barrels. Because of these random imperfections, the striation marks left on bullets can be compared in order to determine if it is likely that they were fired from the same gun.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",173,180,"<div class='speech-bubble algorithm'><div class='left-text'> Yes. For certain types of guns, the barrel will have lands and grooves, known as rifling. This rifling spins the bullet in order to make its trajectory more stable. Due to the manufacturing process, this rifling can produce identifiable markings on the bullet, based on random differences between barrels. Because of these random imperfections, the striation marks left on bullets can be compared in order to determine if it is likely that they were fired from the same gun. </div><div class='algorithm-image'></div></div><br/>"
"177",177,"All","Yes","All",19,"Alg","The first step is to determine where the lands on the bullet are located. These lands will be the sunken area that contains the striation marks between the smoother grooves. 3D scans are then taken for each land, and the &ldquo; shoulders &rdquo; , or area transitioning from the land to the grove, are excluded from the analysis.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",173,180,"<div class='speech-bubble algorithm'><div class='left-text'> The first step is to determine where the lands on the bullet are located. These lands will be the sunken area that contains the striation marks between the smoother grooves. 3D scans are then taken for each land, and the &ldquo; shoulders &rdquo; , or area transitioning from the land to the grove, are excluded from the analysis. </div><div class='algorithm-image'></div></div><br/>"
"178",178,"All","Yes","Yes",19,"Alg","Exhibit F shows the identification of a land.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",173,180,"<div class='speech-bubble algorithm'><div class='left-text'> Exhibit F shows the identification of a land. </div><div class='algorithm-image'></div></div><br/>"
"179",179,"All","Yes","Yes",19,"Narrator","<center>---Exhibit F---</center><br/>","","",173,180," <center>---Exhibit F---</center><br/> "
"180",180,"All","Yes","Yes",19,"Image","<img src='shoulder.jpg' alt='shoulder' width='75%' height='' class='center'><br/>","","</div>",173,180," <img src='shoulder.jpg' alt='shoulder' width='75%' height='' class='center'><br/> </div>"
"181",181,"All","Yes","All",20,"Alg","Next, a stable area of the 3D scan containing the striations is selected, and a cross-section of this area is used to show the striations along with the topology of the region. A smoothing function is applied to remove some of the imaging noise from the 3D scan, leaving the striae intact. A second smooth is subtracted from the striations in order to remove the curvature of the region, leaving only the striae - this is what we call a signature.","<div style='display:grid'><div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",181,187,"<div style='display:grid'><div class='speech-bubble algorithm'><div class='left-text'> Next, a stable area of the 3D scan containing the striations is selected, and a cross-section of this area is used to show the striations along with the topology of the region. A smoothing function is applied to remove some of the imaging noise from the 3D scan, leaving the striae intact. A second smooth is subtracted from the striations in order to remove the curvature of the region, leaving only the striae - this is what we call a signature. </div><div class='algorithm-image'></div></div><br/>"
"182",182,"All","Yes","All",20,"Alg","The signature for the two bullets being compared are aligned such that the best fit between the two signatures is achieved. The striation marks between the two signatures are then compared by evaluating how many of the high points and low points correspond. The algorithm can calculate the number of consecutively matching striations (CMS), or consecutively matching high points and low points - these are features used directly by some examiners to characterize the strength of a match. It also calculates the cross correlation between the two signatures, which is a numerical measure of the similarity between the two lands ranging between -1 and 1.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",181,187,"<div class='speech-bubble algorithm'><div class='left-text'> The signature for the two bullets being compared are aligned such that the best fit between the two signatures is achieved. The striation marks between the two signatures are then compared by evaluating how many of the high points and low points correspond. The algorithm can calculate the number of consecutively matching striations (CMS), or consecutively matching high points and low points - these are features used directly by some examiners to characterize the strength of a match. It also calculates the cross correlation between the two signatures, which is a numerical measure of the similarity between the two lands ranging between -1 and 1. </div><div class='algorithm-image'></div></div><br/>"
"183",183,"All","Yes","Yes",20,"Alg","Exhibit G shows two matching signatures, while Exhibit H shows two non-matching signatures.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",181,187,"<div class='speech-bubble algorithm'><div class='left-text'> Exhibit G shows two matching signatures, while Exhibit H shows two non-matching signatures. </div><div class='algorithm-image'></div></div><br/>"
"184",184,"All","Yes","Yes",20,"Narrator","<center>---Exhibit G---</center><br/>","","",181,187," <center>---Exhibit G---</center><br/> "
"185",185,"All","Yes","Yes",20,"Image","<img src='Match_Signatures.jpg' alt='matchsignature' width='75%' height='' class='center'><br/><br/>","","",181,187," <img src='Match_Signatures.jpg' alt='matchsignature' width='75%' height='' class='center'><br/><br/> "
"186",186,"All","Yes","Yes",20,"Narrator","<center>---Exhibit H---</center><br/>","","",181,187," <center>---Exhibit H---</center><br/> "
"187",187,"All","Yes","Yes",20,"Image","<img src='NoMatch_Signatures.jpg' alt='nomatchsignature' width='75%' height='' class='center'><br/>","","</div>",181,187," <img src='NoMatch_Signatures.jpg' alt='nomatchsignature' width='75%' height='' class='center'><br/> </div>"
"188",188,"All","Yes","All",21,"Alg","These traits are combined using what is known as a random forest. Each forest is composed of decision trees, which use a subset of the observed values in order to make a decision about whether or not the bullets constitute a match. The other observations are held out in order to determine an error rate. When the random forest makes a prediction, each decision tree &ldquo; votes &rdquo; , producing a numerical value between 0 and 1 corresponding to the proportion of trees which evaluate the features as being sufficiently similar to have come from the same source.","<div style='display:grid'><div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",188,194,"<div style='display:grid'><div class='speech-bubble algorithm'><div class='left-text'> These traits are combined using what is known as a random forest. Each forest is composed of decision trees, which use a subset of the observed values in order to make a decision about whether or not the bullets constitute a match. The other observations are held out in order to determine an error rate. When the random forest makes a prediction, each decision tree &ldquo; votes &rdquo; , producing a numerical value between 0 and 1 corresponding to the proportion of trees which evaluate the features as being sufficiently similar to have come from the same source. </div><div class='algorithm-image'></div></div><br/>"
"189",189,"All","Yes","All",21,"Pros","Have you tested this algorithm?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",188,194,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Have you tested this algorithm? </div> </div> "
"190",190,"All","Yes","All",21,"Alg","Yes. This algorithm was tested and validated on a number of different test sets of bullet scans. It was found that, as long as there are sufficient marks on the bullet, the algorithm could successfully distinguish between bullets fired by the same gun and those fired from different guns. Examiners' visual comparisons are also limited by the presence or absence of individualizing marks. Two test sets were using consecutively rifled barrels, which should be the most difficult to assess, and it was shown that the algorithm could distinguish between the bullets fired from two separate guns with complete accuracy.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",188,194,"<div class='speech-bubble algorithm'><div class='left-text'> Yes. This algorithm was tested and validated on a number of different test sets of bullet scans. It was found that, as long as there are sufficient marks on the bullet, the algorithm could successfully distinguish between bullets fired by the same gun and those fired from different guns. Examiners' visual comparisons are also limited by the presence or absence of individualizing marks. Two test sets were using consecutively rifled barrels, which should be the most difficult to assess, and it was shown that the algorithm could distinguish between the bullets fired from two separate guns with complete accuracy. </div><div class='algorithm-image'></div></div><br/>"
"191",191,"All","Yes","All",21,"Pros","Can this algorithm be used on 9mm bullets fired from a Ruger LCP firearm, such as the firearm in question for this case?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",188,194,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Can this algorithm be used on 9mm bullets fired from a Ruger LCP firearm, such as the firearm in question for this case? </div> </div> "
"192",192,"All","Yes","All",21,"Alg","Yes, this algorithm can be used on these types of bullets, given that this type of firearm marks well.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",188,194,"<div class='speech-bubble algorithm'><div class='left-text'> Yes, this algorithm can be used on these types of bullets, given that this type of firearm marks well. </div><div class='algorithm-image'></div></div><br/>"
"193",193,"All","Yes","All",21,"Pros"," Has this algorithm been published?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",188,194,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>  Has this algorithm been published? </div> </div> "
"194",194,"All","Yes","All",21,"Alg","Yes. The algorithm and its process have been discussed in peer reviewed journals such as <i> Law, Probability, and Risk </i>, <i>The Annals of Applied Statistics </i>, and <i> Forensic Science International </i>. The algorithm is also open source, which means that the full source code, documentation, and numerical weights are available online for anyone to examine.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/></div>",188,194,"<div class='speech-bubble algorithm'><div class='left-text'> Yes. The algorithm and its process have been discussed in peer reviewed journals such as <i> Law, Probability, and Risk </i>, <i>The Annals of Applied Statistics </i>, and <i> Forensic Science International </i>. The algorithm is also open source, which means that the full source code, documentation, and numerical weights are available online for anyone to examine. </div><div class='algorithm-image'></div></div><br/></div>"
"195",195,"All","Yes","All",22,"Narrator","<center>---Cross Examination---</center><br/>","<div style='display:grid'>","",195,203,"<div style='display:grid'> <center>---Cross Examination---</center><br/> "
"196",196,"All","Yes","All",22,"Def","How long has the bullet matching algorithm been used in court cases?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",195,203,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> How long has the bullet matching algorithm been used in court cases? </div> </div> "
"197",197,"All","Yes","All",22,"Alg","Since January of 2020","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",195,203,"<div class='speech-bubble algorithm'><div class='left-text'> Since January of 2020 </div><div class='algorithm-image'></div></div><br/>"
"198",198,"All","Yes","All",22,"Def","Okay. So that's fairly new, is that fair to say?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",195,203,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> Okay. So that's fairly new, is that fair to say? </div> </div> "
"199",199,"All","Yes","All",22,"Alg"," It is still fairly new, yes.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",195,203,"<div class='speech-bubble algorithm'><div class='left-text'>  It is still fairly new, yes. </div><div class='algorithm-image'></div></div><br/>"
"200",200,"All","Yes","All",22,"Def"," This algorithm requires some decision making on the part of the operator, such as how much the signature is smoothed and what part of the bullets are inputted into the system, correct?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",195,203,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>  This algorithm requires some decision making on the part of the operator, such as how much the signature is smoothed and what part of the bullets are inputted into the system, correct? </div> </div> "
"201",201,"All","Yes","All",22,"Alg","Yes, there are certain parameters which must be specified, but the system defaults are usually sufficient and have been validated with a number of different firearms and ammunition types. There are also operating protocols for determining which parts of the bullet are scanned, so while this process is manual, there are clear criteria and the associated variability from scanning is well understood, and published in <i> Forensic Science International </i>.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/>",195,203,"<div class='speech-bubble algorithm'><div class='left-text'> Yes, there are certain parameters which must be specified, but the system defaults are usually sufficient and have been validated with a number of different firearms and ammunition types. There are also operating protocols for determining which parts of the bullet are scanned, so while this process is manual, there are clear criteria and the associated variability from scanning is well understood, and published in <i> Forensic Science International </i>. </div><div class='algorithm-image'></div></div><br/>"
"202",202,"All","Yes","All",22,"Def","Can this algorithm be applied to all bullets?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",195,203,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> Can this algorithm be applied to all bullets? </div> </div> "
"203",203,"All","Yes","All",22,"Alg","No, the algorithm only works on traditionally rifled bullets which are largely undamaged. The algorithm has not been validated to work on seriously damaged or fragmented bullets.","<div class='speech-bubble algorithm'><div class='left-text'>","</div><div class='algorithm-image'></div></div><br/></div>",195,203,"<div class='speech-bubble algorithm'><div class='left-text'> No, the algorithm only works on traditionally rifled bullets which are largely undamaged. The algorithm has not been validated to work on seriously damaged or fragmented bullets. </div><div class='algorithm-image'></div></div><br/></div>"
"204",204,"All","Yes","All",23,"Court","You have heard testimony from Terry Smith and Adrian Jones who have testified to opinions and the reasons for their opinions. This opinion testimony is allowed because of the education or experience of this witness.","<div style='display:grid'><div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",204,206,"<div style='display:grid'><div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> You have heard testimony from Terry Smith and Adrian Jones who have testified to opinions and the reasons for their opinions. This opinion testimony is allowed because of the education or experience of this witness. </div> </div> "
"205",205,"All","No","All",23,"Court","You have heard testimony from Terry Smith who testified to opinions and the reasons for their opinions. This opinion testimony is allowed because of the education or experience of these witnesses.","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",204,206,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> You have heard testimony from Terry Smith who testified to opinions and the reasons for their opinions. This opinion testimony is allowed because of the education or experience of these witnesses. </div> </div> "
"206",206,"All","All","All",23,"Court","Such opinion testimony should be judged like any other testimony. You may accept or reject it, and give it as much weight as you think it deserves, considering the witness's education and experience, the reasons given for the opinion, and all the other evidence in the case.","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> </div>",204,206,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Such opinion testimony should be judged like any other testimony. You may accept or reject it, and give it as much weight as you think it deserves, considering the witness's education and experience, the reasons given for the opinion, and all the other evidence in the case. </div> </div> </div>"
